Gene,GeneName,Type,miRNA,Phenotypes
Cd200,OX-2 membrane glycoprotein,,miR-21a-3p; let-7f-2-3p; miR-125b-2-3p,increased total body fat amount
Cdc27,Cell division cycle protein 27 homolog,,miR-3473d; miR-192-3p; let-7b-3p; miR-382-3p; let-7c-2-3p; let-7a-1-3p,increased total body fat amount
Cdc34,Ubiquitin-conjugating enzyme E2 R1,Enzyme,miR-21b,increased fasting circulating glucose level
Cdh10,Cadherin-10,,miR-1291; miR-1981-3p; miR-203-3p; let-7a-2-3p,increased lean body mass
Cdh19,"Cadherin 19, type 2",,miR-92b-3p; miR-451a,decreased lean body mass
Cdkn1b,Cyclin-dependent kinase inhibitor 1B,,miR-152-3p; miR-30d-3p; miR-148a-3p; miR-183-3p; miR-222-3p; miR-221-3p; let-7f-2-3p; miR-148b-3p; miR-30a-3p; miR-30e-3p; miR-330-3p,increased fasting circulating glucose level
Cebpz,CCAAT/enhancer-binding protein zeta,Transcription regulator,miR-3473d; miR-206-3p; miR-205-3p; miR-21b,increased total body fat amount
Celf4,CUGBP Elav-like family member 4,Translation regulator,let-7g-3p; miR-486a-3p; miR-100-3p; miR-486b-3p,impaired glucose tolerance; increased circulating insulin level
Celsr1,Cadherin EGF LAG seven-pass G-type receptor 1,G-protein coupled receptor,miR-3470b; let-7a-2-3p,increased lean body mass
Cep128,Centrosomal protein of 128 kDa,,miR-30b-3p,improved glucose tolerance
Chd7,Chromodomain-helicase-DNA-binding protein 7,Enzyme,miR-3470a; miR-743b-3p; miR-152-3p; miR-93-3p; miR-148a-3p; miR-222-3p; miR-221-3p; miR-27a-3p; miR-470-3p; miR-148b-3p; miR-483-3p; miR-27b-3p,increased circulating glucose level
Chd8,Chromodomain-helicase-DNA-binding protein 8,Enzyme,miR-532-3p,impaired glucose tolerance
Chmp3,Charged multivesicular body protein 3,,miR-301a-3p; let-7g-3p; miR-130b-3p,impaired glucose tolerance
Chn1,N-chimaerin,,miR-3473d; miR-222-3p; miR-221-3p; miR-211-3p,increased lean body mass
Chrdl1,Chordin-like protein 1,,miR-200b-3p; miR-30d-3p; miR-200c-3p; miR-429-3p; miR-30a-3p; miR-30e-3p,increased fasting circulating glucose level
