Gene,GeneName,Type,miRNA,Phenotypes
Mysm1,Deubiquitinase MYSM1,Enzyme,miR-3470a; miR-7241-3p; miR-200b-3p; miR-10a-3p; let-7b-3p; miR-200a-3p; miR-200c-3p; let-7c-2-3p; let-7a-1-3p; miR-429-3p; miR-21b; miR-375-3p; miR-669e-3p; miR-141-3p,increased total body fat amount
Naa10,N-alpha-acetyltransferase 10,Enzyme,miR-382-3p; miR-486a-3p; miR-486b-3p,increased lean body mass; improved glucose tolerance
Nacc1,Nucleus accumbens-associated protein 1,Transcription regulator,miR-1291; miR-3473d; miR-23b-3p; miR-23a-3p,impaired glucose tolerance
Nadk,NAD kinase,Kinase,miR-205-3p; miR-206-3p; miR-677-3p,increased lean body mass
Nans,N-acetylneuraminate-9-phosphate synthase,Enzyme,miR-125b-2-3p,increased total body fat amount
Nat8f2,N-acetyltransferase family 8 member 2,Enzyme,miR-3473f; miR-93-3p; miR-741-3p,increased fasting circulating glucose level
Natd1,increased lean body mass,,miR-29a-3p; miR-29c-3p,Lean/Body weight
Nbea,Neurobeachin,,miR-3473e; miR-3473b; miR-192-3p; miR-301a-3p; miR-152-3p; let-7b-3p; miR-148a-3p; miR-203-3p; miR-30b-3p; let-7c-2-3p; let-7a-1-3p; miR-205-3p; miR-1934-3p; miR-130b-3p; miR-148b-3p; miR-468-3p,increased total body fat amount
Nbr1,Next to BRCA1 gene 1 protein,,miR-3968; miR-200b-3p; miR-200c-3p; miR-429-3p; miR-470-3p,impaired glucose tolerance
Ncald,Neurocalcin-delta,,miR-150-3p; let-7f-2-3p; miR-27a-3p; miR-677-3p; miR-486a-3p; miR-486b-3p; miR-27b-3p,increased circulating insulin level
Ncaph,Condensin complex subunit 2,,miR-204-3p,increased lean body mass
Ncbp3,Nuclear cap-binding protein subunit 3,,miR-743b-3p; miR-203-3p; miR-27a-3p; miR-1934-3p; miR-27b-3p; miR-330-3p,increased total body fat amount
Ncoa1,Nuclear receptor coactivator 1,Transcription regulator,miR-1291; miR-182-3p; miR-152-3p; miR-148a-3p; miR-23b-3p; miR-145a-3p; let-7g-3p; miR-23a-3p; miR-206-3p; miR-148b-3p; miR-100-3p; miR-468-3p; miR-669e-3p,increased lean body mass
Ncoa2,Nuclear receptor coactivator 2,Transcription regulator,miR-881-3p; miR-3473f; miR-200b-3p; let-7b-3p; miR-23b-3p; miR-23a-3p; miR-200a-3p; miR-200c-3p; let-7g-3p; let-7c-2-3p; let-7a-1-3p; miR-429-3p; let-7f-2-3p; miR-21b; miR-669e-3p; miR-330-3p; miR-141-3p,increased circulating insulin level
Ncoa3,Nuclear receptor coactivator 3,Transcription regulator,miR-301a-3p; miR-29a-3p; miR-130b-3p; miR-29c-3p; miR-330-3p,impaired glucose tolerance
Ncor2,Nuclear receptor corepressor 2,Transcription regulator,miR-182-3p; miR-184-3p,increased lean body mass
Nedd4,E3 ubiquitin-protein ligase NEDD4,Enzyme,miR-21b,impaired glucose tolerance
Nek2,Serine/threonine-protein kinase Nek2,Kinase,miR-34c-3p; miR-34b-3p; miR-672-3p,increased fasting circulating glucose level
Neurl4,Neuralized-like protein 4,,miR-1291; miR-152-3p; miR-148a-3p; let-7g-3p; miR-27a-3p; miR-148b-3p; miR-27b-3p,increased lean body mass
Nexmif,Neurite extension and migration factor,Enzyme,miR-1931; miR-547-3p; miR-29a-3p; miR-30d-3p; miR-152-3p; let-7b-3p; miR-21a-3p; miR-148a-3p; miR-143-3p; miR-200a-3p; miR-206-3p; miR-96-3p; let-7c-2-3p; let-7a-1-3p; miR-29c-3p; miR-30a-3p; miR-30e-3p; miR-148b-3p; miR-468-3p; miR-669e-3p; miR-330-3p; miR-141-3p,increased total body fat amount
Nfat5,Nuclear factor of activated T-cells 5,Transcription regulator,miR-3470a; miR-25-3p; miR-3473d; miR-3969; miR-672-3p; miR-192-3p; miR-547-3p; miR-92b-3p; miR-29a-3p; miR-93-3p; let-7b-3p; miR-222-3p; let-7c-2-3p; let-7a-1-3p; miR-206-3p; miR-221-3p; miR-21b; miR-677-3p; miR-29c-3p; miR-449a-3p,improved glucose tolerance
Nfya,Nuclear transcription factor Y subunit alpha,Transcription regulator,miR-200b-3p; miR-200c-3p; miR-429-3p; miR-22-3p,increased lean body mass
Nhlh2,Helix-loop-helix protein 2,Transcription regulator,miR-3535; miR-301a-3p; miR-130b-3p; miR-27a-3p; miR-27b-3p,increased total body fat amount; impaired glucose tolerance
Nisch,Nischarin,,miR-21a-3p,impaired glucose tolerance
Notch3,Neurogenic locus notch homolog protein 3,Transcription regulator,miR-206-3p,improved glucose tolerance
Npepps,Puromycin-sensitive aminopeptidase,Peptidase,miR-672-3p; miR-27a-3p; miR-27b-3p,increased lean body mass
Npy5r,Neuropeptide Y receptor type 5,G-protein coupled receptor,miR-23b-3p; miR-23a-3p,increased total body fat amount
Nr2c2,Nuclear receptor subfamily 2 group C member 2,Ligand-dependent nuclear receptor,miR-547-3p; miR-935; miR-30d-3p; miR-200b-3p; miR-183-3p; miR-382-3p; let-7g-3p; miR-203-3p; miR-200a-3p; miR-200c-3p; miR-429-3p; miR-677-3p; miR-30a-3p; miR-30e-3p; miR-141-3p,impaired glucose tolerance
Nras,GTPase NRas,Enzyme,miR-1291; miR-3470a; miR-182-3p; miR-152-3p; miR-29a-3p; miR-148a-3p; miR-148b-3p; miR-29c-3p,increased circulating glucose level
Nrcam,Neuronal cell adhesion molecule,,miR-374b-3p,increased fasting circulating glucose level
Nrsn1,Neurensin-1,,miR-200b-3p; miR-200c-3p; miR-143-3p; miR-429-3p,increased fasting circulating glucose level
Nrxn1,Neurexin-1-beta,Transmembrane receptor,miR-672-3p; miR-23b-3p; miR-23a-3p; miR-200a-3p; miR-205-3p; miR-21b; miR-141-3p,increased lean body mass; impaired glucose tolerance
Nsd3,Histone-lysine N-methyltransferase NSD3,Transcription regulator,miR-3470a; miR-25-3p; miR-301a-3p; miR-192-3p; miR-92b-3p; miR-130b-3p,increased total body fat amount
Nsun5,28S rRNA,Enzyme,miR-3473d,increased fasting circulating glucose level
Ntrk2,BDNF/NT-3 growth factors receptor,Kinase,miR-3470a; miR-935; miR-93-3p; miR-23b-3p; miR-23a-3p; miR-200a-3p; miR-677-3p; miR-22-3p; miR-141-3p; miR-330-3p,increased lean body mass
Nucks1,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1,Transcription regulator,miR-203-3p; miR-206-3p,increased lean body mass
Nudt13,"NAD(P)H pyrophosphatase NUDT13, mitochondrial",Enzyme,miR-146b-3p,increased fasting circulating glucose level
Nudt16l1,Tudor-interacting repair regulator protein,,miR-1981-3p,increased total body fat amount
Oaf,Out at first protein homolog,,miR-125a-3p; miR-27a-3p; miR-27b-3p,increased lean body mass
Ociad1,OCIA domain-containing protein 1,,miR-3535; miR-881-3p; miR-93-3p,impaired glucose tolerance
Ogdh,2-oxoglutarate dehydrogenase complex component E1,Enzyme,miR-22-3p,increased lean body mass
Ogfod1,Prolyl 3-hydroxylase OGFOD1,Enzyme,miR-3535; miR-672-3p,increased lean body mass
Ogn,Mimecan,Growth factor,miR-27a-3p; miR-22-3p; miR-27b-3p,increased fasting circulating glucose level
Osbpl11,Oxysterol-binding protein-related protein 11,,miR-3470a; miR-200b-3p; miR-152-3p; miR-30d-3p; miR-29a-3p; miR-148a-3p; miR-183-3p; miR-200c-3p; miR-200a-3p; miR-429-3p; miR-148b-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p; miR-125b-2-3p; miR-141-3p,increased total body fat amount; improved glucose tolerance
Osbpl3,Oxysterol-binding protein-related protein 3,,miR-3473f; miR-743b-3p; let-7b-3p; miR-204-3p; miR-200a-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p; miR-21b; miR-423-3p; miR-141-3p,increased lean body mass
P2ry14,P2Y purinoceptor 14,G-protein coupled receptor,miR-935,increased total body fat amount
P3h1,Prolyl 3-hydroxylase 1,Enzyme,miR-29a-3p; miR-29c-3p,increased total body fat amount
Pacs2,Phosphofurin acidic cluster sorting protein 2,,miR-7222-3p; miR-21b,increased total body fat amount
Pacsin2,Protein kinase C and casein kinase substrate in neurons protein 2,,miR-34c-3p; miR-34b-3p; miR-93-3p; let-7f-2-3p; miR-449a-3p,increased lean body mass; increased fasting circulating glucose level
Pak1,Serine/threonine-protein kinase PAK 1,Kinase,miR-21b,increased total body fat amount
Palb2,Partner and localizer of BRCA2,,miR-23b-3p; miR-23a-3p,increased circulating insulin level
Pald1,Paladin,Phosphatase,let-7g-3p; miR-22-3p,impaired glucose tolerance
Palm,Lens fiber major intrinsic protein,,miR-3535; miR-29a-3p; miR-204-3p; miR-29c-3p,impaired glucose tolerance
Parp1,Poly [ADP-ribose] polymerase 1,Enzyme,miR-3968,increased fasting circulating glucose level
Pbx3,Pre-B-cell leukemia transcription factor 3,Transcription regulator,miR-200b-3p; miR-200c-3p; miR-429-3p,increased total body fat amount
Pcdh18,Protocadherin 18,,let-7f-2-3p,increased lean body mass
Pcdh8,Protocadherin-8,,miR-881-3p; miR-30d-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-30a-3p; miR-30e-3p,impaired glucose tolerance
Pcm1,Pericentriolar material 1 protein,,let-7f-2-3p; miR-21b; miR-330-3p,decreased lean body mass; impaired glucose tolerance
Pcsk5,Proprotein convertase subtilisin/kexin type 5,Peptidase,miR-743b-3p; miR-301a-3p; miR-935; miR-29a-3p; miR-30d-3p; miR-677-3p; miR-130b-3p; miR-29c-3p; miR-669e-3p,increased lean body mass; increased fasting circulating glucose level
Pcx,"Pyruvate carboxylase, mitochondrial",,miR-143-3p,increased total body fat amount
Pdcd6ip,Programmed cell death 6-interacting protein,,miR-547-3p; miR-669e-3p,abnormal lean body mass
Pde1a,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",Enzyme,miR-374b-3p; let-7g-3p; let-7a-2-3p,increased lean body mass
Pdgfc,Platelet-derived growth factor C,Growth factor,miR-3473f; let-7g-3p; miR-139-3p; miR-669e-3p,abnormal lean body mass
Pdia6,Protein disulfide-isomerase A6,Enzyme,miR-7222-3p; miR-23b-3p; miR-23a-3p,increased total body fat amount
Pdp1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",Phosphatase,miR-669e-3p,improved glucose tolerance
Pdss2,All trans-polyprenyl-diphosphate synthase PDSS2,Enzyme,miR-3470a; miR-30d-3p; miR-30a-3p; miR-30e-3p,increased total body fat amount
Pdxp,Chronophin,Phosphatase,miR-7222-3p; miR-23b-3p; miR-23a-3p; miR-200a-3p; miR-141-3p,increased lean body mass
Pdzd8,PDZ domain-containing protein 8,,miR-25-3p; miR-92b-3p; miR-205-3p,increased lean body mass
Peak1,Inactive tyrosine-protein kinase PEAK1,Kinase,miR-25-3p; miR-3473d; miR-92b-3p; miR-152-3p; miR-93-3p; miR-29a-3p; miR-148a-3p; miR-30b-3p; miR-206-3p; miR-27a-3p; miR-148b-3p; miR-29c-3p; miR-27b-3p,increased lean body mass
Peli1,E3 ubiquitin-protein ligase pellino homolog 1,Enzyme,miR-3473f; miR-301a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-130b-3p,increased lean body mass; improved glucose tolerance
Penk,Proenkephalin-A [Cleaved into: Synenkephalin; Met-enkephalin,,let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-330-3p,increased total body fat amount
Per2,Period circadian protein homolog 2,Transcription regulator,miR-25-3p; miR-92b-3p; miR-743b-3p; miR-211-3p,increased lean body mass
Pex3,Peroxisomal biogenesis factor 3,,miR-935; miR-21a-3p; miR-183-3p; miR-203-3p; miR-21b,increased lean body mass
Pfkfb2,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",Enzyme,miR-3969; miR-672-3p; miR-935; miR-205-3p,increased fasting circulating glucose level
Pfkm,"ATP-dependent 6-phosphofructokinase, muscle type",Kinase,miR-200a-3p; miR-141-3p,increased lean body mass
Pgbd5,PiggyBac transposable element-derived protein 5,Enzyme,miR-27a-3p; miR-27b-3p,increased total body fat amount; impaired glucose tolerance
Phf20l1,PHD finger protein 20-like protein 1,,miR-7222-3p; miR-182-3p; miR-10a-3p; let-7g-3p; let-7f-2-3p; miR-483-3p; miR-708-3p,increased lean body mass
Phf5a,PHD finger-like domain-containing protein 5A,,miR-3535,increased lean body mass; increased fasting circulating glucose level
Phf8,Histone lysine demethylase PHF8,Enzyme,miR-3535; miR-743b-3p; let-7b-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p; miR-22-3p; let-7a-2-3p,improved glucose tolerance
Phkb,Phosphorylase b kinase regulatory subunit beta,Kinase,let-7g-3p,increased total body fat amount
Phlpp1,PH domain leucine-rich repeat-containing protein phosphatase 1,Enzyme,miR-34c-3p; miR-34b-3p; miR-3473d; miR-200a-3p; miR-21b; miR-141-3p,decreased lean body mass
Pias2,E3 SUMO-protein ligase PIAS2,Transcription regulator,miR-3969; miR-29a-3p; miR-382-3p; miR-29c-3p,increased total body fat amount; increased circulating insulin level
Pigc,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C,Enzyme,miR-96-3p; miR-27a-3p; miR-27b-3p,impaired glucose tolerance
Pigf,Phosphatidylinositol-glycan biosynthesis class F protein,Enzyme,miR-203-3p; miR-191-3p,increased total body fat amount
Pip4k2c,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,Kinase,miR-25-3p; miR-92b-3p,increased fasting circulating glucose level
Pitpnc1,Cytoplasmic phosphatidylinositol transfer protein 1,Transporter,miR-25-3p; miR-3473d; miR-92b-3p; let-7g-3p,increased lean body mass; improved glucose tolerance
Pitpnm1,Membrane-associated phosphatidylinositol transfer protein 1,Transporter,miR-200b-3p; miR-200c-3p; miR-429-3p,increased lean body mass
Plb1,"Phospholipase B1, membrane-associated",Enzyme,miR-30d-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Pld5,Inactive phospholipase D5,,miR-3473f; miR-547-3p; miR-200b-3p; miR-21a-3p; miR-200c-3p; miR-429-3p,decreased lean body mass
Plekha1,Pleckstrin homology domain-containing family A member 1,,miR-25-3p; miR-92b-3p; miR-205-3p; miR-100-3p; miR-125b-2-3p; miR-211-3p,improved glucose tolerance
Plet1,Placenta-expressed transcript 1 protein,,miR-145a-3p,increased circulating insulin level
Plxnb2,Plexin-B2,Transmembrane receptor,miR-7222-3p,increased lean body mass
Pnisr,Arginine/serine-rich protein PNISR,,miR-25-3p; miR-92b-3p; miR-30d-3p; miR-200b-3p; let-7b-3p; miR-200c-3p; let-7c-2-3p; let-7a-1-3p; miR-429-3p; miR-27a-3p; miR-30a-3p; miR-30e-3p; miR-27b-3p,decreased lean body mass
Polb,DNA polymerase beta,Enzyme,miR-21b,increased lean body mass
Pold3,DNA polymerase delta subunit 3,Transcription regulator,miR-143-3p,increased circulating insulin level
Pparg,Peroxisome proliferator-activated receptor gamma,Ligand-dependent nuclear receptor,miR-301a-3p; miR-27a-3p; miR-130b-3p; miR-27b-3p,increased total body fat amount; increased fasting circulating glucose level
Ppp2r1b,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,Phosphatase,miR-744-3p; miR-301a-3p; miR-143-3p; miR-130b-3p; miR-125b-2-3p,increased fasting circulating glucose level
Ppp2r2a,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,Phosphatase,miR-3535; miR-222-3p; miR-200a-3p; miR-221-3p; miR-375-3p; miR-741-3p; miR-141-3p,decreased lean body mass
Ppp2r5c,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,,miR-743b-3p; miR-183-3p; let-7g-3p; miR-200a-3p; miR-741-3p; miR-141-3p,increased total body fat amount
Ppp3ca,Protein phosphatase 3 catalytic subunit alpha,Phosphatase,miR-547-3p; miR-935; miR-150-3p; let-7b-3p; miR-21a-3p; let-7c-2-3p; let-7a-1-3p; miR-669e-3p; miR-330-3p,increased body weight
Ppp4r3b,Serine/threonine-protein phosphatase 4 regulatory subunit 3B,,miR-743b-3p; miR-29a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-206-3p; miR-29c-3p,impaired glucose tolerance
Ppp6c,Serine/threonine-protein phosphatase 6 catalytic subunit,Phosphatase,miR-93-3p,increased fasting circulating glucose level
Prdm14,PR domain zinc finger protein 14,Transcription regulator,miR-301a-3p; miR-130b-3p,increased total body fat amount; impaired glucose tolerance
Prdm4,PR domain zinc finger protein 4,Transcription regulator,miR-3969,increased lean body mass; impaired glucose tolerance
Prdm8,PR domain zinc finger protein 8,Transcription regulator,miR-3470a; miR-1981-3p; miR-330-3p,impaired glucose tolerance
Prg4,Phospholipid phosphatase-related protein type 2,,miR-3473f; miR-23b-3p; miR-23a-3p,improved glucose tolerance
Prkd1,Serine/threonine-protein kinase D1,Kinase,miR-672-3p; miR-382-3p,increased circulating insulin level
Prob1,Proline rich basic protein 1,,miR-92b-3p; miR-204-3p,increased total body fat amount
Prr5,Proline-rich protein 5,,miR-145a-3p,increased total body fat amount
Prss35,Inactive serine protease 35,Peptidase,miR-30d-3p; miR-29a-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p,impaired glucose tolerance
Prss8,Prostasin,Peptidase,miR-328-3p,increased fasting circulating glucose level
Psg27,Pregnancy-specific beta-1-glycoprotein 27,,miR-7241-3p,increased circulating insulin level
Pstpip2,Proline-serine-threonine phosphatase-interacting protein 2,,miR-3473d; miR-23b-3p; miR-23a-3p,improved glucose tolerance
Ptch2,Protein patched homolog 2,Transmembrane receptor,let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-21b,increased fasting circulating glucose level
Ptchd1,Patched domain-containing protein 1,,miR-743b-3p; miR-547-3p; miR-470-3p,increased lean body mass
Ptp4a2,Protein tyrosine phosphatase type IVA 2,Phosphatase,miR-935; miR-23b-3p; miR-23a-3p; let-7g-3p,increased total body fat amount
Ptpn14,Tyrosine-protein phosphatase non-receptor type 14,Phosphatase,miR-7222-3p; miR-152-3p; miR-200b-3p; miR-148a-3p; miR-200c-3p; miR-429-3p; miR-206-3p; miR-148b-3p,increased lean body mass
Ptprd,Receptor-type tyrosine-protein phosphatase delta,Phosphatase,miR-3535; miR-25-3p; miR-92b-3p; miR-30d-3p; miR-200a-3p; miR-141-3p,increased lean body mass; improved glucose tolerance
Pttg1ip,Pituitary tumor-transforming gene 1 protein-interacting protein,,miR-3473e; miR-3473b; miR-125a-3p; miR-184-3p,increased total body fat amount
Pum2,Pumilio homolog 2,,miR-871-3p; miR-7222-3p; miR-3473f; miR-200b-3p; let-7b-3p; miR-23b-3p; miR-183-3p; let-7g-3p; miR-23a-3p; miR-200c-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-532-3p; miR-206-3p; miR-429-3p; miR-21b; miR-669e-3p; miR-330-3p,increased lean body mass
Pvr,Nectin-2,,miR-30b-3p; miR-139-3p,increased circulating insulin level
Pwwp2b,PWWP domain-containing protein 2B,,miR-7222-3p,impaired glucose tolerance
Pxk,PX domain-containing protein kinase-like protein,Kinase,miR-301a-3p; miR-183-3p; miR-200a-3p; miR-130b-3p; miR-141-3p,increased total body fat amount
Pxylp1,2-phosphoxylose phosphatase 1,Phosphatase,miR-3470b; miR-3473e; miR-3473b,decreased lean body mass
Qsox2,Sulfhydryl oxidase 2,Enzyme,miR-142a-3p; miR-21a-3p,increased fasting circulating glucose level
Rab11a,Ras-related protein Rab-11A,Enzyme,miR-142a-3p; miR-204-3p,improved glucose tolerance
Rab11fip1,Rab11 family-interacting protein 1,,miR-3473e; miR-3473b; miR-672-3p; miR-30d-3p; miR-96-3p; miR-27a-3p; miR-30a-3p; miR-30e-3p; miR-741-3p; miR-27b-3p,increased fasting circulating glucose level
Rab11fip3,Rab11 family-interacting protein 3,,let-7b-3p; miR-21a-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p,improved glucose tolerance
Rab23,Ras-related protein Rab-23,Enzyme,miR-25-3p; miR-92b-3p; miR-743b-3p; miR-672-3p; miR-142a-3p; miR-203-3p,decreased lean body mass
Rab28,Ras-related protein Rab-28,Enzyme,miR-204-3p,increased total body fat amount
Rab3ip,Rab-3A-interacting protein,,miR-25-3p; miR-672-3p; miR-92b-3p; miR-330-3p,increased lean body mass
Rab8a,Ras-related protein Rab-8A,Enzyme,miR-7222-3p; miR-871-3p,decreased lean body mass
Rabgap1,Rab GTPase-activating protein 1,,miR-204-3p; miR-205-3p,improved glucose tolerance
Rabl6,Rab-like protein 6,,miR-486a-3p; miR-486b-3p,increased lean body mass
Rad1,Cell cycle checkpoint protein RAD1,Enzyme,miR-743b-3p; miR-205-3p; miR-139-3p,increased fasting circulating glucose level
Ranbp10,Ran-binding protein 10,,miR-200b-3p; miR-145a-3p; miR-30b-3p; miR-200c-3p; miR-429-3p; miR-328-3p,increased circulating glucose level
Rbl1,Retinoblastoma-like protein 1,Transcription regulator,miR-205-3p; miR-330-3p,improved glucose tolerance
Rbms1,"RNA-binding motif, single-stranded-interacting protein 1",,miR-3969; miR-3473d; miR-743b-3p,decreased lean body mass; impaired glucose tolerance
Rbmx,"RNA-binding motif protein, X chromosome",,miR-3473e; miR-3473b; miR-10b-3p,increased circulating insulin level
Rbpj,Recombining binding protein suppressor of hairless,Transcription regulator,miR-25-3p; miR-92b-3p; miR-547-3p; miR-145a-3p; miR-423-3p; miR-375-3p; miR-125b-2-3p,improved glucose tolerance
Rbpms2,RNA-binding protein with multiple splicing 2,,miR-25-3p; miR-92b-3p; miR-23b-3p; miR-23a-3p; miR-27a-3p; miR-27b-3p,increased total body fat amount
Rcan1,Calcipressin-1,,miR-204-3p; miR-532-3p,increased lean body mass
Reg3d,Regenerating islet-derived 3 delta,,miR-143-3p,increased lean body mass
Retreg3,Reticulophagy regulator 3,,miR-3535; miR-23b-3p; miR-21a-3p; miR-23a-3p; miR-27a-3p; miR-27b-3p,increased lean body mass
Rfx6,DNA-binding protein RFX6,Enzyme,miR-23b-3p; miR-222-3p; miR-23a-3p; miR-221-3p; miR-125b-2-3p; miR-669e-3p,impaired glucose tolerance
Ric8a,Chaperone Ric-8A,,miR-7222-3p; miR-29a-3p; miR-96-3p; miR-29c-3p,increased total body fat amount
Rilpl1,RILP-like protein 1,,miR-330-3p,increased fasting circulating glucose level
Rilpl2,RILP-like protein 2,,miR-741-3p; miR-125b-2-3p,increased fasting circulating glucose level
Rlbp1,Retinaldehyde-binding protein 1,Transporter,miR-204-3p,increased lean body mass
Rnase10,Inactive ribonuclease-like protein 10,,miR-741-3p,increased total body fat amount
Rnf169,E3 ubiquitin-protein ligase RNF169,,miR-547-3p; miR-743b-3p; miR-200b-3p; miR-200c-3p; miR-429-3p; let-7f-2-3p,increased lean body mass
Rnf216,E3 ubiquitin-protein ligase RNF216,Enzyme,miR-301a-3p; miR-130b-3p; miR-483-3p,increased fasting circulating glucose level
Rrbp1,Ribosome-binding protein 1,,miR-25-3p; miR-92b-3p; miR-206-3p,increased lean body mass
Rreb1,Ras-responsive element-binding protein 1,Transcription regulator,miR-3470b; miR-1291; miR-935; miR-142a-3p; miR-93-3p; miR-27a-3p; let-7a-2-3p; miR-27b-3p,increased lean body mass
Rsbn1,Lysine-specific demethylase 9,Enzyme,miR-25-3p; miR-7222-3p; miR-3969; miR-92b-3p; miR-192-3p; miR-672-3p; miR-935; miR-93-3p; miR-23b-3p; miR-23a-3p; miR-205-3p; miR-206-3p; miR-677-3p; miR-22-3p; miR-125b-2-3p,increased total body fat amount
Rspo1,R-spondin-1,,let-7f-2-3p,increased lean body mass
Rspo4,R-spondin-4,,miR-205-3p,increased fasting circulating glucose level
Rtbdn,Retbindin,,miR-744-3p; miR-204-3p,improved glucose tolerance
Rufy2,RUN and FYVE domain-containing protein 2,,miR-3535; miR-3473f; miR-3969; miR-10a-3p; miR-23b-3p; miR-23a-3p; miR-30b-3p; miR-206-3p; miR-21b,impaired glucose tolerance
Runx2,Runt-related transcription factor 2,Transcription regulator,miR-3470a; miR-3473f; miR-152-3p; miR-30d-3p; miR-93-3p; miR-148a-3p; miR-23b-3p; miR-23a-3p; miR-222-3p; miR-221-3p; miR-148b-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Rwdd1,RWD domain-containing protein 1,,miR-21b,increased total body fat amount
S100b,Protein S100-B,,miR-708-3p,increased circulating glucose level
Sap30,Histone deacetylase complex subunit SAP30,Transcription regulator,miR-470-3p,increased circulating glucose level
Scamp5,Secretory carrier-associated membrane protein 5,,miR-1931; miR-29a-3p; miR-29c-3p; let-7a-2-3p,increased lean body mass
Scarb2,Lysosome membrane protein 2,Transmembrane receptor,miR-30d-3p; miR-222-3p; miR-221-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Scml4,Sex comb on midleg-like protein 4,,miR-1931; miR-672-3p; miR-301a-3p; miR-150-3p; miR-21a-3p; miR-130b-3p,increased circulating glucose level
Sdc1,Syndecan-1,Enzyme,miR-3473d; miR-182-3p,improved glucose tolerance
Sdhc,"Succinate dehydrogenase cytochrome b560 subunit, mitochondrial",Enzyme,miR-150-3p,increased body weight
Sec23a,Protein transport protein Sec23A,Transporter,miR-200b-3p; miR-23b-3p; let-7b-3p; miR-200c-3p; miR-23a-3p; miR-429-3p; let-7c-2-3p; let-7a-1-3p; miR-330-3p,increased lean body mass
Sec24d,"SEC24 homolog D, COPII coat complex component",Transporter,miR-203-3p; let-7f-2-3p,impaired glucose tolerance
Sec61b,Protein transport protein Sec61 subunit beta,Transporter,miR-21b,increased circulating insulin level
Secisbp2l,Selenocysteine insertion sequence-binding protein 2-like,,miR-3473f; let-7b-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p; miR-205-3p,increased lean body mass
Selenok,Selenoprotein K,,miR-7222-3p; miR-743b-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-677-3p,increased total body fat amount
Sema4d,Semaphorin-4D,Transmembrane receptor,miR-21a-3p,increased total body fat amount
Setd1a,Histone-lysine N-methyltransferase SETD1A,Ion channel,miR-3473f,increased lean body mass
Setd1b,Histone-lysine N-methyltransferase SETD1B,Enzyme,miR-23b-3p; miR-23a-3p; miR-677-3p; let-7a-2-3p,increased lean body mass
Setx,Probable helicase senataxin,Enzyme,miR-935; miR-382-3p; miR-27a-3p; miR-375-3p; miR-27b-3p,improved glucose tolerance
Sfrp1,Secreted frizzled-related protein 1,Transmembrane receptor,miR-203-3p; miR-206-3p; miR-27a-3p; miR-27b-3p; miR-330-3p,increased total body fat amount
Sfrp2,Secreted frizzled-related protein 2,Transmembrane receptor,miR-881-3p; miR-183-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-21b; miR-669e-3p,decreased lean body mass
Sfxn1,Sideroflexin-1,Transporter,miR-25-3p; miR-92b-3p; miR-192-3p; miR-672-3p; miR-200b-3p; miR-200c-3p; miR-429-3p; miR-27a-3p; miR-27b-3p,increased fasting circulating glucose level
Sfxn3,Sideroflexin-3,Transporter,miR-21b,increased circulating insulin level
Sgms1,Phosphatidylcholine:ceramide cholinephosphotransferase 1,Enzyme,miR-1306-3p; miR-152-3p; miR-148a-3p; miR-148b-3p; miR-741-3p,increased lean body mass
Sh2b1,SH2B adapter protein 1,,miR-142a-3p,impaired glucose tolerance
Shh,Sonic hedgehog protein,Peptidase,miR-183-3p; let-7g-3p,increased total body fat amount; impaired glucose tolerance
Shisa7,Protein shisa-7,,miR-744-3p; miR-204-3p; miR-30b-3p,increased lean body mass
Shisal1,Protein shisa-like-1,,miR-672-3p; miR-29a-3p; miR-145a-3p; miR-532-3p; miR-486a-3p; miR-29c-3p; miR-486b-3p; miR-741-3p; miR-22-3p,increased fasting circulating glucose level
