Phenotype,Pathway,p-value (-log10),Genes
Bodycomposition,IL-12 Signaling and Production in Macrophages,1.71,AKT2;FOS;NCOA1;PIAS2;PPARG;PRKCH;VDR;XRCC5
Glucose,Hepatitis B Chronic Liver Pathogenesis Signaling ,1.71,AKT2;ATF2;IFNAR1;NRAS;TRIM37;VDAC1
Bodycomposition,Nuclear Cytoskeleton Signaling ,1.7,CDH19;NUP205;NUP37;PPARG;RUNX2;SUN1;SYNE2;XRCC5
Glucose,Pulmonary Fibrosis Idiopathic Signaling ,1.69,AKT2;ATF2;FOXO3;FZD3;LPAR1;NOTCH3;NRAS;RBPJ;STK38
Insulin,Mismatch Repair,1.69,POLD3
Bodycomposition,WNT/β-catenin Signaling,1.68,AKT2;FZD3;PPP2R2A;PPP2R5C;SFRP2;TCF7L2;TLE4
Glucose,GABA synthesis; release; reuptake and degradation,1.68,GAD2;STXBP1
Glucose,NFE2L2 regulating anti-oxidant/detoxification enzymes,1.68,BACH1;SLC7A11
Glucose,G alpha (z) signalling events,1.68,ADCY1;ADRA2A;GNGT2
Glucose,Endocannabinoid Developing Neuron ,1.67,ADCY1;AKT2;ATF2;CDKN1B;NRAS
Insulin,Gαq Signaling,1.67,ELK1;PRKD1
Bodycomposition,MyD88-independent TLR4 cascade,1.66,FADD;IRAK2;UBE2D3
Bodycomposition,DDX58/IFIH1-mediated induction of interferon-alpha/beta,1.66,FADD;ITCH;MAP3K1;UBE2D3
Bodycomposition,Mitotic Roles of Polo-Like Kinase,1.66,CDC27;PPP2R2A;PPP2R5C;PRC1
Insulin,Erythropoietin Signaling ,1.66,ELK1;PRKD1
Insulin,Aldosterone Signaling in Epithelial Cells,1.66,DNAJC5G;PRKD1
Bodycomposition,mRNA 3 Prime End Processing Signaling ,1.64,CNOT4;CNOT7;DICER1;E2F3;PAPOLA
Glucose,Dopamine-DARPP32 Feedback in cAMP Signaling,1.64,ADCY1;ATF2;ATP2A2;CACNA2D1;CACNB2;PPP2R1B
Insulin,Serotonin Receptor Signaling,1.64,ADCY9;LIPE;PRKD1
Bodycomposition,SUMOylation of ubiquitinylation proteins,1.63,NUP205;NUP37;PIAS2
Bodycomposition,Transcriptional Regulation by VENTX,1.63,CDC27;EHMT1;TCF7L2
Glucose,RHO GTPases activate CIT,1.63,CDKN1B;MYH10
Glucose,G Beta Gamma Signaling,1.63,ADCY1;AKT2;CACNA2D1;CACNB2;NRAS
Glucose,TP53 Regulates Transcription of Cell Cycle Genes,1.63,BTG2;CDKN1B;RBL1
Insulin,Dopamine-DARPP32 Feedback in cAMP Signaling,1.63,ADCY9;PRKD1
Insulin,Protein Sorting Signaling ,1.63,ADCY9;PRKD1
Bodycomposition,YAP1- and WWTR1 (TAZ)-stimulated gene expression,1.62,RUNX2;TEAD1
Bodycomposition,Telomere Extension by Telomerase,1.62,TNKS;XRCC5
Glucose,Osteoarthritis ,1.62,ATF2;FOXO3;FZD3;PPARG;PRG4;RBPJ;SIK3
Bodycomposition,ISG15 antiviral mechanism,1.61,BECN1;FLNB;NUP205;NUP37
Glucose,Oxytocin Signaling ,1.61,AKT2;ATF2;CACNA2D1;CACNB2;HSPB3;MYH10;NRAS;PPARG
Glucose,Signaling by NOTCH3,1.61,KAT2B;NOTCH3;RBPJ
Glucose,GABA Receptor Signaling,1.61,ADCY1;AP2A1;CACNA2D1;CACNB2;GAD2
Glucose,Opioid Signalling,1.61,ADCY1;CAMK2B;GNGT2;PPP2R1B
Glucose,Glutamate Dependent Acid Resistance,1.6,GAD2
Insulin,Endothelin-1 Signaling,1.59,ADCY9;PRKD1
Insulin,SUMOylation of transcription factors,1.59,PIAS2
Insulin,Gustation ,1.58,ADCY9;LIPE
Bodycomposition,TCF dependent signaling in response to WNT,1.57,AKT2;PPP2R5C;RSPO1;SFRP2;TCF7L2;TLE4;TNKS
Bodycomposition,SUMOylation of DNA methylation proteins,1.57,CBX4;DNMT3A
Insulin,Acetylcholine Receptor Signaling ,1.57,ADCY9;PRKD1
Glucose,CSDE1 Signaling ,1.56,AKT2;SYNCRIP;TRIO
Insulin,Adrenergic Receptor Signaling  (Enhanced),1.56,ADCY9;PRKD1
Bodycomposition,Oxidative Stress Induced Senescence,1.55,CBX4;CBX6;E2F3;FOS
Bodycomposition,RHO GTPase cycle,1.55,ACBD5;ARHGAP21;ARHGEF4;CHN1;DBN1;DOCK9;EMC3;FNBP1L;MSI2;MYO6;OSBPL11;PEAK1;TWF1
Bodycomposition,Xenobiotic Metabolism Signaling,1.55,CAMK1;CAMK1D;GCLC;MAP3K1;NCOA1;NCOR2;PPP2R2A;PPP2R5C;PRKCH
Glucose,Citric acid cycle (TCA cycle),1.55,CS;NNT
