Gene,Gene Name,Phenotype,Parameter
Dnase1l2,Deoxyribonuclease-1-like 2,increased total body fat amount,Fat mass
Mysm1,Deubiquitinase MYSM1,increased total body fat amount,Fat mass
Dgkd,Diacylglycerol kinase delta,decreased lean body mass,Lean/Body weight
Dpp8,Dipeptidyl peptidase 8,increased total body fat amount,Fat/Body weight
Dpp9,Dipeptidyl peptidase 9,decreased lean body mass,Lean mass
Adam32,Disintegrin and metalloproteinase domain-containing protein 32,increased total body fat amount,Fat/Body weight
Dlg2,Disks large homolog 2,increased lean body mass,Lean Mass
Dlg4,Disks large homolog 4,increased lean body mass,Lean/Body weight
Dlgap4,Disks large-associated protein 4,increased lean body mass,Lean mass
Dipk1a,Divergent protein kinase domain 1A,increased lean body mass,Lean mass
Dmxl2,DmX-like protein 2,increased total body fat amount,Fat/Body weight
Dnmt3a,DNA,increased total body fat amount,Fat/Body weight
Polb,DNA polymerase beta,increased lean body mass,Lean/Body weight
Spidr,DNA repair-scaffolding protein,increased total body fat amount,Fat/Body weight
Dnajc14,DnaJ homolog subfamily C member 14,increased lean body mass,Lean mass
Alg8,"Dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase",increased total body fat amount,Fat/Body weight
Stau2,Double-stranded RNA-binding protein Staufen homolog 2,increased total body fat amount,Fat mass
Dbn1,Drebrin,increased lean body mass,Lean/Body weight
Duoxa2,Dual oxidase maturation factor 2,increased total body fat amount,Fat mass
Pde1a,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A",increased lean body mass,Lean/Body weight
Dusp26,Dual specificity protein phosphatase 26,increased lean body mass,Lean Mass
Dusp3,Dual specificity protein phosphatase 3,increased total body fat amount,Fat Mass
Ccdc103,Dynein axonemal assembly factor 19,increased total body fat amount,Fat mass
Dnaaf5,Dynein axonemal assembly factor 5,decreased lean body mass,Lean/Body weight
Dnai2,Dynein axonemal intermediate chain 2,increased total body fat amount,Fat mass
Dynlrb2,Dynein light chain roadblock-type 2,increased lean body mass,Lean mass
