Gene,Gene Name,Phenotype,Parameter
Krtap17-1,Keratin associated protein 17-1,increased lean body mass,Lean/Body weight
Vsig4,V-set and immunoglobulin domain containing 4,increased lean body mass,Lean mass
Zfp84,Zinc finger protein 84,increased lean body mass,Lean/Body weight
3425401B19Rik,,decreased lean body mass,Lean mass
Cdh19,"Cadherin 19, type 2",decreased lean body mass,Lean mass
Agl,Glycogen debranching enzyme (EC 2.4.1.25) (EC 3.2.1.33) (Glycogen debrancher),increased lean body mass,Lean mass
Chrna9,"Cholinergic receptor, nicotinic, alpha polypeptide 9",increased lean body mass,Lean/Body weight
Zbtb16,Zbtb16 protein,increased lean body mass,Lean/Body weight
Ccdc28a,Coiled-coil domain containing 28A,increased lean body mass,Lean/Body weight
Atp8b4,Phospholipid-transporting ATPase (EC 7.6.2.1),decreased lean body mass,Lean/Body weight
4930591A17Rik,Uncharacterized protein,increased lean body mass,Lean mass
A430005L14Rik,RIKEN cDNA A430005L14 gene,increased lean body mass,Lean/Body weight
Usp31,ubiquitinyl hydrolase 1 (EC 3.4.19.12),increased lean body mass,Lean/Body weight
Spink14,"Predicted gene, EG433178 (Serine peptidase inhibitor, Kazal type 14)",increased lean body mass,Lean mass
Tfap4,Transcription factor AP4,increased lean body mass,Lean/Body weight
Tgm6,Tgm6 protein,increased lean body mass,Lean mass
Ap1ar,Adaptor-related protein complex 1 associated regulatory protein,increased lean body mass,Lean/Body weight
Leprot,Leptin receptor gene-related protein (Endospanin-1) (OB-R gene-related protein) (OB-RGRP),increased lean body mass,Lean mass
Mir96,,increased lean body mass,Lean/Body weight
Zfp52,Mszf75,increased lean body mass,Lean mass
2810408A11Rik,2810408A11Rik protein,increased lean body mass,Lean mass
Abcc8,"ATP-binding cassette, sub-family C member 8",increased lean body mass,Lean/Body weight
H2-M5,"Histocompatibility 2, M region locus 5 (MHC classIb protein M5)",increased lean body mass,Lean Mass
Cpgi11865,,decreased lean body mass,Lean mass
Reg3d,Regenerating islet-derived 3 delta,increased lean body mass,Lean mass
Dppa1,Developmental pluripotency associated 1,increased lean body mass,Lean mass
Col6a3,"Collagen, type VI, alpha 3",decreased lean body mass,Lean mass
Cd300ld2,CD300 molecule like family member D2,increased lean body mass,Lean mass
