Gene,Gene Name,Phenotype,Parameter
Exoc3l2,Exocyst complex component 3-like 2,impaired glucose tolerance,Area under glucose response curve
Cpgi15497,,impaired glucose tolerance,Initial response to glucose challenge
Sec24d,"SEC24 homolog D, COPII coat complex component",impaired glucose tolerance,Area under glucose response curve
Col4a5,"Collagen, type IV, alpha 5",impaired glucose tolerance,Initial response to glucose challenge
Herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,impaired glucose tolerance,Area under glucose response curve
Ahnak,AHNAK nucleoprotein,improved glucose tolerance,Area under glucose response curve
Lonrf2,LON peptidase N-terminal domain and ring finger 2,impaired glucose tolerance,Area under glucose response curve
Ccl26,C-C motif chemokine ligand 26,improved glucose tolerance,Area under glucose response curve
4933402J07Rik,Uncharacterized protein,improved glucose tolerance,Area under glucose response curve
Mir129-2,,impaired glucose tolerance,Area under glucose response curve
Agl,Glycogen debranching enzyme,impaired glucose tolerance,Area under glucose response curve
2210408I21Rik,RIKEN cDNA 2210408I21 gene,impaired glucose tolerance,Initial response to glucose challenge
Jakmip2,Janus kinase and microtubule interacting protein 2,increased circulating glucose level,Glucose
1700030J22Rik,Uncharacterized protein,increased circulating glucose level,Glucose
Usp31,ubiquitinyl hydrolase 1,increased circulating glucose level,Glucose
Oas1g,2'-5' oligoadenylate synthase,increased circulating glucose level,Glucose
Eid2b,EP300 interacting inhibitor of differentiation 2B,increased circulating glucose level,Glucose
Upf3b,UPF3 regulator of nonsense transcripts homolog B,increased fasting circulating glucose level,Fasted blood glucose concentration
H1f10,H1.10 linker histone,increased fasting circulating glucose level,Fasted blood glucose concentration
Abhd12b,Abhydrolase domain containing 12B,increased fasting circulating glucose level,Fasted blood glucose concentration
Mir203,,increased fasting circulating glucose level,Fasted blood glucose concentration
Cyp4f16,"Cytochrome P450, family 4, subfamily f, polypeptide 16",increased fasting circulating glucose level,Fasted blood glucose concentration
Or5b112,Olfactory receptor,increased fasting circulating glucose level,Fasted blood glucose concentration
A830018L16Rik,A830018L16Rik protein,increased fasting circulating glucose level,Fasted blood glucose concentration
Fam186b,"Family with sequence similarity 186, member B",increased fasting circulating glucose level,Fasted blood glucose concentration
Duox2,NAD(P)H oxidase,increased fasting circulating glucose level,Fasted blood glucose concentration
Dnajc5g,DnaJ heat shock protein family,increased fasting circulating glucose level,Fasted blood glucose concentration
Wdr36,WD repeat domain 36,increased fasting circulating glucose level,Fasted blood glucose concentration
F730043M19Rik,Uncharacterized protein,increased fasting circulating glucose level,Fasted blood glucose concentration
Zfp616,Zinc finger protein 616,increased fasting circulating glucose level,Fasted blood glucose concentration
Taf15,TATA-box binding protein associated factor 15,increased fasting circulating glucose level,Fasted blood glucose concentration
