Phenotype,Function,p-value (-log10),Genes
Glucose,Recruitment of CD8+ T lymphocyte,1.954677021,IFNAR1;PELI1
Glucose,Respiration of muscle cells,1.954677021,TEAD1;VDAC1
Glucose,Development of sebaceous glands,1.954677021,ASH1L;RBPJ
Glucose,Cell viability of muscle cells,1.954677021,PARP1;SLC7A11
Glucose,Re-entry into S phase,1.954677021,CDKN1B;PARP1
Glucose,G1/S phase transition,1.950781977,CAMK2B;CDKN1B;E2F3;FOXO3;NFAT5
Glucose,Exocytosis,1.943095149,ATP2A2;CACNB2;MYH10;STXBP1;SYTL4;TSPAN18
Glucose,Quantity of leptin in blood,1.943095149,AKT2;E2F3;KDM3A;LEPR;PPARG;SIK3
Glucose,Differentiation of embryonic stem cells,1.931814138,CDKN1B;EIF4G2;LMNA;PPARG;RBL1
Glucose,Abnormal morphology of cardiovascular system,1.928117993,ACADVL;ADRA2A;AKAP13;ATP2A2;BACH1;BNIP3;CCND2;CDKN1B;FNIP1;GPX3;LEPR;LMNA;MYH10;NFAT5;NOTCH3;PARP1;PHF8;PPARG;RBPJ;SDC1;SIRPA;SS18;TEAD1
Glucose,Morphogenesis of epithelial cells,1.924453039,BCL11B;RILPL1;RILPL2
Glucose,Accumulation of polysaccharide,1.924453039,FNIP1;NOTCH3;SLC30A7
Glucose,Abnormal morphology of forebrain,1.924453039,ADCY1;ASPA;CDKN1B;EBF2;EFNA5;IFNAR1;MYH10;PHF8;TRIO
Glucose,Morphogenesis of blood vessel,1.91721463,ADGRF5;CHD7;NEDD4;NOTCH3;RBPJ
Glucose,Exocytosis by cells,1.913640169,ATP2A2;MYH10;STXBP1;SYTL4
Glucose,Proliferation of embryonic cells,1.913640169,ATF2;BTG2;CDKN1B;FZD3;LMNA;LPAR1;NRAS;PPARG;TNKS
Glucose,Quantity of cells,1.913640169,ADGRF5;AKAP13;AKT2;ASPA;ATF2;BCL11B;CACNA2D1;CCND2;CDKN1B;DAAM2;EBF2;FASTK;FBXO11;FNIP1;FOXO3;GHRH;GPR83;IFNAR1;LCP1;LEPR;LMNA;LPAR1;MCU;NAA10;NEDD4;NFAT5;NHLH2;NOTCH3;NR2C2;NRAS;NRCAM;PARP1;PELI1;PFN1;PHF8;PIP4K2C;PPARG;PPP4R3B;PSTPIP2;RBL1;RBPJ;SDC1;SIK3;SIRPA;SLC30A7;SLC6A2;STEAP3;TLE4;TNKS;UBE2W;USP47;ZFP36
Glucose,Outgrowth of neurites,1.906578315,CAMK2B;IMPACT;MYH10;PARP1;RAB11A;S100B;SS18;TRIO
Glucose,Delay in initiation of edema of submucosa,1.903089987,PARP1
Glucose,Efferocytosis by subtype 1 conventional dendritic cells,1.903089987,SLC7A11
Glucose,Bleeding of spinal cord,1.903089987,PCSK5
Glucose,Calcium response of bone marrow-derived mast cells,1.903089987,DBN1
Glucose,Invasion of neuroepithelial cells,1.903089987,MYH10
Glucose,Area of primary somatosensory cortex,1.903089987,EFNA5
Glucose,Lipoatrophy of hibernating gland,1.903089987,PPARG
Glucose,Migration of cerebellar granule neuron precursor cells,1.903089987,BTG2
Glucose,Inflammation of lung interstitium,1.903089987,INSIG1
Glucose,Cell division of myeloblasts,1.903089987,RBL1
Glucose,Delay in initiation of erosion of epithelial tissue,1.903089987,PARP1
Glucose,Formation of facial nucleus,1.903089987,TRIO
Glucose,ER-nuclear signaling pathway,1.903089987,ATP2A2
Glucose,Presence of meconium,1.903089987,ATF2
Glucose,Lack of granule cells,1.903089987,TRIO
Glucose,Efferocytosis by bone marrow-derived dendritic cells,1.903089987,SLC7A11
Glucose,Size of thalamocortical tract,1.903089987,FZD3
Glucose,Hyperplasia of bronchial epithelial cells,1.903089987,PPARG
Glucose,Commitment of embryonic stem cell lines,1.903089987,LMNA
Glucose,Accumulation of ascitic fluid,1.903089987,NOTCH3
Glucose,Lipoatrophy of perirenal white adipose tissue,1.903089987,PPARG
Glucose,Endothelial dysfunction of aortic ring tissue,1.903089987,PPARG
Glucose,Formation of GABAergic synapse,1.903089987,CELF4
Glucose,Delay in initiation of inflammation of intestine,1.903089987,PARP1
Glucose,Muscular dystrophy of cardiac muscle,1.903089987,LMNA
Glucose,Vasodilation of pial arteriole,1.903089987,PPARG
Glucose,Exocytosis of plasma membrane,1.903089987,MYH10
Glucose,Arrest in G2/M phase transition of melanoma cell lines,1.903089987,ATF2
Glucose,Mitogenesis of oligodendrocyte precursor cells,1.903089987,CDKN1B
Glucose,Expansion of mammary epithelium,1.903089987,LEPR
Glucose,Development of hypoglossal nucleus,1.903089987,ATF2
Glucose,Abnormal morphology of abnormally sized ovary,1.903089987,EBF2
Glucose,Oxygenation of blood,1.903089987,PPARG
Glucose,Export of hyaluronic acid,1.903089987,ABCC5
Glucose,Development of abducens nucleus,1.903089987,ATF2
Glucose,Gliogenesis of radial glial cells in thoracic neural tube,1.903089987,RBPJ
Glucose,Autoimmune response by Th1 cells,1.903089987,PARP1
Glucose,Detachment of desmin filament,1.903089987,LMNA
Glucose,Quantity of stellate interneurons,1.903089987,CCND2
Glucose,Delay in initiation of disruption of crypt of Lieberkuhn,1.903089987,PARP1
Glucose,Turning of body axis,1.903089987,RBPJ
Glucose,Opening of neuropore,1.903089987,RBPJ
Glucose,Import of L-cysteine,1.903089987,SLC1A4
Glucose,Delay in initiation of formation of fur,1.903089987,PPARG
Glucose,Stabilization of mouse chromosome 14,1.903089987,PARP1
Glucose,Delay in initiation of ossification of mandible,1.903089987,PCSK5
Glucose,Barrett syndrome,1.903089987,CDKN1B
Glucose,Fragmentation of heterochromatin,1.903089987,LMNA
Glucose,Morphology of liver cell lines,1.903089987,NOTCH3
Glucose,Hyperplasia of adipocytes,1.903089987,LEPR
Glucose,Hypertrophy of type IIx muscle fibers,1.903089987,DEPDC5
Glucose,Area of abdominal adipose tissue,1.903089987,LEPR
Glucose,Arrest in mitosis of erythroid cells,1.903089987,FOXO3
Glucose,Cell division of granule neuron progenitor cells,1.903089987,CDKN1B
Glucose,Zinc deficiency,1.903089987,SLC30A7
Glucose,Cell death of white adipocytes,1.903089987,PPARG
Glucose,Infection of colon,1.903089987,AKT2
Glucose,Long term synaptic depression of medial prefrontal cortex,1.903089987,GRM3
Glucose,Size of nigrostriatum,1.903089987,FZD3
Glucose,Density of adipose tissue,1.903089987,LEPR
Glucose,Gliogenesis of astrocyte precursor cells,1.903089987,RBPJ
Glucose,Hypersomnia,1.903089987,SIK3
Glucose,Commitment of muscle precursor cells,1.903089987,LMNA
Glucose,Delay in initiation of ossification of nasal bone,1.903089987,PCSK5
Glucose,Cell abscission,1.903089987,PFN1
Glucose,Hypertrophy of type I myofibers,1.903089987,DEPDC5
Glucose,Sphericalization of left ventricle,1.903089987,BNIP3
Glucose,Contraction phase of effector T lymphocytes,1.903089987,CDKN1B
Glucose,Loss of mural cells,1.903089987,NOTCH3
Glucose,Hyperactivation of helper T lymphocytes,1.903089987,FOXO3
Glucose,Formation of glutaminergic synapse,1.903089987,CELF4
Glucose,Cellularity of adipocytes,1.903089987,PPARG
Glucose,Arrest in growth of adipose cell lines,1.903089987,PPARG
Glucose,Delay in initiation of loss of goblet cells,1.903089987,PARP1
Glucose,Recruitment of oleic acid,1.903089987,PPARG
Glucose,Penile prolapse,1.903089987,ATP2A2
Glucose,Release of ova,1.903089987,PPARG
Glucose,Apoptosis of foam cells,1.903089987,PARP1
Glucose,Sleep need disorder,1.903089987,SIK3
Glucose,Tinnitus,1.903089987,GAD2
Glucose,Cellularity of medullary cavity,1.903089987,CDKN1B
Glucose,Demyelination of dorsal root,1.903089987,LPAR1
Glucose,Dysfunction of blood platelets,1.903089987,IFNAR1
Glucose,Arrest in G1 phase of mesangial cells,1.903089987,CDKN1B
Glucose,Arrest in development of invariant natural killer T cells,1.903089987,FNIP1
Glucose,Atrophy of vestibular organ,1.903089987,ATF2
Glucose,Recruitment of CD11b+ cells,1.903089987,LEPR
Glucose,Erythropoiesis of LSK cells,1.903089987,NRAS
Glucose,Release of human herpesvirus 8,1.903089987,RBPJ
Glucose,Quantity of cytotrophoblastic cells,1.903089987,ATF2
Glucose,Fatigue of gastrocnemius,1.903089987,FNIP1
Glucose,Acute myocardial infarction,1.903089987,BACH1
Glucose,Morphology of mitochondrial matrix,1.903089987,PPARG
Glucose,Production of astrocytes,1.903089987,RBPJ
Glucose,Lipoatrophy of inguinal white adipose tissue,1.903089987,PPARG
Glucose,G1 phase of neuroepithelial cells,1.903089987,CDKN1B
Glucose,Cytostasis of neurites,1.903089987,MYH10
Glucose,Formation of mammary duct,1.903089987,LEPR
Glucose,Erythropoiesis of erythroid cells,1.903089987,NRAS
Glucose,Quantity of proximal tubule cells,1.903089987,FOXO3
Glucose,Stabilization of lamellipodia,1.903089987,MYH10
Glucose,Adipogenesis of adipose mesenchymal stem cells,1.903089987,PPARG
Glucose,Uptake of daunorubicin,1.903089987,PARP1
Glucose,Severe microcephaly,1.903089987,PPARG
Glucose,Mechanotransduction of fibroblast cell lines,1.903089987,LMNA
Glucose,Firing of cochlear nerve,1.903089987,CACNB2
Glucose,Elimination of melanocyte stem cell,1.903089987,RBPJ
Glucose,Formation of epicardial adipose tissue,1.903089987,PPARG
Glucose,Vitreal fibroplasia,1.903089987,VPS13B
Glucose,Formation of neuroendocrine system,1.903089987,EBF2
Glucose,Electrical resistance of kidney cell lines,1.903089987,MPDZ
Glucose,Stabilization of mouse chromosome 4,1.903089987,PARP1
Glucose,Clearance of norepinephrine,1.903089987,SLC6A2
Glucose,Exit from cell cycle progression of neural stem cells,1.903089987,SS18
Glucose,Elimination of melanoblasts,1.903089987,RBPJ
Glucose,Conduction of motor neurons,1.903089987,EBF2
Glucose,Mitosis of organ of Corti cells,1.903089987,CDKN1B
Glucose,Infection of cecum,1.903089987,AKT2
Glucose,Regulation of eicosanoid,1.903089987,SLC30A7
Glucose,Translocation of ADP,1.903089987,VDAC1
Glucose,Differentiation of pancreatic epsilon cell,1.903089987,RFX6
Glucose,Development of corticospinal neurons,1.903089987,BCL11B
Glucose,Commitment of keratinocytes,1.903089987,RBPJ
Glucose,Permeability of mitochondrial outer membrane,1.903089987,FAM83A
Glucose,Delay in ossification of vertebrae,1.903089987,PCSK5
Glucose,Antibody-dependent cell-mediated cytotoxicity of melanoma cell lines,1.903089987,SIRPA
Glucose,Formation of nuclear envelope,1.903089987,LMNA
Glucose,Differentiation of transit amplifying progenitor cells,1.903089987,RBPJ
Glucose,Mild lipodystrophy,1.903089987,ATP2A2
Glucose,Protective immunity of Th17 cells,1.903089987,LEPR
Glucose,Expansion of erythroblasts,1.903089987,IFNAR1
Glucose,Hypertrophy of type IIa myofibers,1.903089987,DEPDC5
Glucose,Growth of corticotrophic adenoma,1.903089987,NR2C2
Glucose,Hyperkeratosis of nail,1.903089987,ATP2A2
Glucose,Nephrogenic diabetes insipidus,1.903089987,NFAT5
Glucose,Stabilization of mouse chromosome 5,1.903089987,PARP1
Glucose,Attachment of red blood cells,1.903089987,SIRPA
Glucose,Transformation of retinal progenitor cells,1.903089987,RBL1
Glucose,Invasion of bone marrow cell lines,1.903089987,SLC7A11
Glucose,Maturation of adipose mesenchymal stem cells,1.903089987,LMNA
Glucose,Cutaneous albinism,1.903089987,NAA10
Glucose,Accumulation of memory precursor T lymphocytes,1.903089987,FOXO3
Glucose,Density of plasma membrane projections,1.903089987,LEPR
Glucose,Apoptosis of nucleus pulposus cells,1.903089987,NFAT5
Glucose,Development of nuclear cataract,1.903089987,NFAT5
Glucose,Autoimmune response of Th17 cells,1.903089987,LEPR
Glucose,Restlessness,1.903089987,LEPR
Glucose,Transmigration of breast cell lines,1.903089987,MYH10
Glucose,Delivery of macrophages,1.903089987,IFNAR1
Glucose,Multinucleation of liver cell lines,1.903089987,NOTCH3
Glucose,Late preterm birth,1.903089987,PPARG
Glucose,Penetration of microtubules,1.903089987,MYH10
Glucose,Movement of pro-B lymphocytes,1.903089987,LCP1
Glucose,Arrest in cell cycle progression of adipose cell lines,1.903089987,PPARG
Glucose,Bilateral hydronephrosis,1.903089987,NFAT5
Glucose,Arrest in G1/S phase transition of T lymphocytes,1.903089987,NFAT5
Glucose,Migration of chondrocytes,1.903089987,NACC1
Glucose,Lesioning of knee joint,1.903089987,PARP1
Glucose,Mechanical hypersensitivity of neurons,1.903089987,CACNA2D1
Glucose,Infection of ependymal cells,1.903089987,IFNAR1
Glucose,Severe intrauterine growth retardation,1.903089987,RBPJ
Glucose,Entry into G2/M phase,1.903089987,LMNA
Glucose,Mechanotransduction of embryonic cell lines,1.903089987,LMNA
Glucose,Exocytosis of inner hair cells,1.903089987,CACNB2
Glucose,Severe non-insulin-dependent diabetes mellitus,1.903089987,LEPR
Glucose,Disorganization of accessory olfactory bulb,1.903089987,BCL11B
Glucose,Development of vomeronasal organ,1.903089987,BCL11B
Glucose,Onset of proliferation of podocytes,1.903089987,CDKN1B
Glucose,Growth of Candida albicans ATCC 90028,1.903089987,IFNAR1
Glucose,Experimental fibrosis of peritoneal tissue,1.903089987,LPAR1
Glucose,Delay in differentiation of oligodendrocyte precursor cells,1.903089987,CDKN1B
Glucose,Transmembrane transport of glutathione,1.903089987,SLC7A11
Glucose,Cross-presentation of dendritic cells,1.903089987,IFNAR1
Glucose,Mean arterial pressure of femoral artery,1.903089987,ATP2A2
Glucose,Clonal expansion of Th1 cells,1.903089987,PARP1
Glucose,Exit from cell cycle progression of organ of Corti cells,1.903089987,CDKN1B
Glucose,Proliferation of myeloid progenitor cells,1.89279003,CDKN1B;FOXO3;NRAS
Glucose,Hypertriglyceridemia,1.89279003,FOXO3;LCP1;LEPR
Glucose,Inflammation of lung tissue,1.88941029,INSIG1;PPARG
Glucose,Presence of neurons,1.88941029,CDKN1B;CNKSR2
Glucose,Vasodilation of aortic ring tissue,1.88941029,PPARG;ZFP36
Glucose,Opening of vagina,1.88941029,NHLH2;NR2C2
Glucose,Activation of nerves,1.88941029,LEPR;PPARG
Glucose,Cellularity of spleen,1.88941029,CDKN1B;PARP1
Glucose,Movement of Nucleus,1.88941029,LMNA;MYH10
Glucose,Dysmyelination,1.886056648,ASPA;CDKN1B;EBF2;LMNA;LPAR1;NRCAM;PPARG
Glucose,Circadian rhythm,1.886056648,ADCY1;BLOC1S6;PARP1;PPARG;SUV39H2
Glucose,Benign lesion,1.886056648,ATF2;ATP2A2;BCL11B;CAMK2B;CDKN1B;E2F3;FOXO3;GHRH;LEPR;NR2C2;NRAS;RAB11A;RBL1;SDC1;SLC7A11
Glucose,Hyperplasia of tissue,1.876148359,ATP2A2;BTG2;CCND2;CDKN1B;Clcnkb;LEPR;PPARG;RBL1
Glucose,Transport of molecule,1.876148359,ABCC5;ADRA2A;AKT2;AP2A1;AP3S1;AP4E1;ATF2;ATP2A2;CACNA2D1;CAMK2B;CDKN1B;EBF2;FOXO3;GHRH;LMNA;MCU;MPDZ;NEDD4;PARP1;PPARG;SFXN1;SLC1A4;SLC30A7;SLC6A2;SLC7A11;STEAP3;STX16;STXBP1;SURF4
Glucose,Activation of Adenylate cyclase,1.872895202,ADCY1;GHRH;LPAR1;PALM
Glucose,Synaptic transmission,1.869666232,ADCY1;BTBD9;CACNB2;DLGAP2;GRM3;PFN1;PHF8;SLC7A11;STXBP1;VDAC1
Glucose,Metabolism of peptide,1.866461092,CAMK2B;HIPK3;PCSK5;SLC7A11;TNKS;TTBK1
Glucose,Presymptomatic disease stage Huntington disease,1.863279433,DBN1;INSIG1;TRIO
Glucose,Abnormal morphology of vascular smooth muscle,1.863279433,BACH1;LMNA;NOTCH3
Glucose,Quantity of cytokine,1.863279433,AKT2;E2F3;Ifi204 (includes others);IFNAR1;KDM3A;KLHDC10;LEPR;PPARG;SIK3;STK38
Glucose,Thymic hypoplasia,1.853871964,BCL11B;CDKN1B;NFAT5;TLE4;ZFP36
Glucose,Proliferation of bone marrow cells,1.838631998,CCND2;CDKN1B;FOXO3;NRAS;PPARG
Glucose,Thickness of epidermis,1.835647144,CCND2;LMNA;PPARG
Glucose,Development of joint,1.835647144,FOXO3;INSIG1;RBPJ
Glucose,Concentration of norepinephrine,1.835647144,ADRA2A;CACNA2D1;SLC6A2;SLITRK1
Glucose,Spike-wave discharge,1.829738285,ADRA2A;CELF4
Glucose,Biosynthesis of peptide,1.829738285,PCSK5;SLC7A11
Glucose,Quantity of somatotrophs,1.829738285,CDKN1B;GHRH
Glucose,Arrest in G2/M phase transition,1.829738285,ATF2;PARP1
Glucose,Transport of endosomes,1.829738285,ARL8B;WASHC4
Glucose,Autophagy of muscle,1.829738285,BNIP3;FOXO3
Glucose,Abnormal morphology of dendrites,1.823908741,CCND2;DBN1;MYH10;NEDD4;PFN1
Glucose,Cataract disease,1.815308569,NFAT5;NOTCH3;NRCAM;VPS13B
Glucose,Cell viability of fibroblast cell lines,1.809668302,LMNA;NR2C2;NRAS;PARP1;VDAC1
Glucose,Quantity of neuroendocrine cells,1.809668302,AKT2;CDKN1B;GHRH;LEPR;SLC30A7
Glucose,Proliferation of smooth muscle cells,1.809668302,E2F3;LPAR1;NOTCH3;PPARG;SIRPA
Glucose,Hypoplasia of testis,1.806875402,E2F3;EBF2;NHLH2
Glucose,Differentiation of stem cells,1.801342913,CDKN1B;EIF4G2;Ifi204 (includes others);KDM3A;LMNA;NRAS;PPARG;RBL1;RBPJ;ZFP36
Glucose,Degeneration of seminiferous tubule,1.795880017,IGSF11;NHLH2;NR2C2;UBE2W
Glucose,Hyperinsulinism,1.795880017,AKT2;CDKN1B;LEPR;PPARG
Glucose,Abnormal morphology of adipocytes,1.795880017,AKT2;INSIG1;LEPR;PPARG
Glucose,Size of forebrain,1.795880017,AKAP13;AP4E1;FOXO3;FZD3
Glucose,Pituitary gland adenoma,1.795880017,CAMK2B;CDKN1B;FOXO3;GHRH;NR2C2
Glucose,Abnormal morphology of neurites,1.793174124,CCND2;DBN1;EBF2;LMNA;MYH10;NEDD4;NRCAM;PFN1
Glucose,Growth of organism,1.782516056,AKT2;ATF2;BTG2;CDKN1B;DUOXA2;E2F3;FOXO3;FZD3;GIGYF2;IFNAR1;LMNA;LPAR1;NR2C2;NRAS;PARP1;PPARG;RBL1;SIK3;SLC30A7;SLITRK1;SS18;TNKS;VPS13B
Glucose,Quantity of protein in blood,1.782516056,AKT2;CDKN1B;E2F3;FOXO3;GHRH;Ifi204 (includes others);IFNAR1;KDM3A;KLHDC10;LEPR;LMNA;NHLH2;NR2C2;PHF8;PPARG;SIK3;STK38
Glucose,Size of cells,1.779891912,AKT2;ATF2;CDKN1B;FAM83A;FOXO3;KDM3A;LMNA;NR2C2;NRAS;PARP1;PPARG;PSTPIP2;RBL1;RBPJ;SIK3;USP36
Glucose,Expression of protein,1.779891912,CDKN1B;EIF4G2;IFNAR1;IMPACT;PPARG;SYNCRIP;USP36
Glucose,Maturation of connective tissue,1.779891912,CDKN1B;LMNA;RBL1
Glucose,Hyperphagia,1.777283529,LEPR;NHLH2;PPARG;SDC1
Glucose,Transport of iron ion,1.777283529,SFXN1;STEAP3
Glucose,Autophagy of fibroblasts,1.777283529,BNIP3;FOXO3
Glucose,Maturation of chondrocytes,1.777283529,CDKN1B;RBL1
Glucose,Expansion of myeloid progenitor cells,1.777283529,FOXO3;NRAS
Glucose,Mechanical hyperalgesia,1.777283529,ADCY1;LEPR
Glucose,Abnormal morphology of muscle,1.772113295,ACADVL;AKAP13;ATP2A2;BACH1;DEPDC5;FOXO3;KDM3A;LMNA;MYH10;NOTCH3;PPARG;RBPJ;TRIO
Glucose,Morphology of muscle cells,1.769551079,AKT2;FOXO3;LEPR;LMNA;MYH10;NRAS;TRIO
Glucose,Mass of fat pad,1.769551079,CDKN1B;INSIG1;KDM3A;NR2C2;RBL1;SIK3
Glucose,Spatial learning,1.76700389,ADCY1;ADRA2A;DLGAP2;NRAS;NRCAM;PHF8;SLC7A11;VDAC1
Glucose,Concentration of fatty acid,1.759450752,ACADVL;ADGRF5;Clcnkb;CS;EFNA5;ELOVL5;KDM3A;LEPR;ME1;PPARG;SLC30A7
Glucose,Quantity of GPT in blood,1.759450752,IFNAR1;NR2C2;PHF8;SIK3
Glucose,Ovulation,1.759450752,CCND2;EFNA5;FOXO3;NR2C2
Glucose,Transport of divalent cations,1.756961951,ATP2A2;CACNA2D1;CAMK2B;MCU;SLC30A7;STEAP3
Glucose,Quantity of insulin in blood,1.756961951,AKT2;CDKN1B;KDM3A;LEPR;LMNA;NR2C2;PPARG;SIK3
Glucose,Abnormal morphology of nervous system,1.754487332,ADCY1;AKT2;ASPA;BTBD9;CCND2;CDKN1B;DBN1;DLGAP2;E2F3;EBF2;EFNA5;FOXO3;IFNAR1;LEPR;LMNA;LPAR1;MYH10;NEDD4;NR2C2;NRCAM;PFN1;PHF8;RBL1;TRIO;USP30;VANGL2
Glucose,Microtubule dynamics,1.752026734,ADCY1;BCL11B;BLOC1S6;CAMK2B;CDKN1B;CEP128;DBN1;EFNA5;LPAR1;MPDZ;MYH10;NEDD4;NISCH;NRCAM;PALM;PARP1;PFN1;RANBP10;S100B;SIRPA;SLC25A46;SLITRK1;SS18;TRIO;UPF3B;VANGL2;VDAC1
Glucose,Mechanical hypersensitivity,1.752026734,CACNA2D1;FZD3;NR2C2
Glucose,Mass of brown adipose tissue,1.752026734,LMNA;NAA10;PPARG
Glucose,Uptake of Ca2+,1.752026734,ATP2A2;PPARG;VDAC1
Glucose,Migration of cells,1.752026734,AKT2;BCL11B;BTG2;CDKN1B;DBN1;E2F3;EBF2;FASTK;FNIP1;IFNAR1;LCP1;LEPR;LMNA;LPAR1;MCU;MYH10;NACC1;NEDD4;NFAT5;NHLH2;NISCH;NOTCH3;NRAS;PARP1;PELI1;PFN1;PIP4K2C;PPARG;PRSS35;RBPJ;S100B;SDC1;SIRPA;SYNCRIP;TNS3;TRIO;USP47;ZNF513
Glucose,Transport of protein,1.749579998,AP2A1;AP3S1;AP4E1;ATF2;LMNA;MPDZ;SLC7A11
Glucose,Quantity of steroid,1.747146969,AKT2;CDKN1B;DENND5B;FOXO3;INSIG1;KDM3A;LEPR;LMNA;ME1;NHLH2;NR2C2;PARP1;PPARG;RBMS1;SIK3;SLC7A11;SURF4
Glucose,Hypoplasia of heart,1.739928612,ATF2;MYH10;RBPJ;TEAD1
Glucose,Abnormal morphology of epiphyseal growth plate,1.739928612,E2F3;PRG4;RBL1;TLE4
Glucose,Activation of enzyme,1.739928612,ADCY1;CDKN1B;GHRH;GPR83;KAT2B;LPAR1;PALM
Glucose,Transport of metal,1.739928612,ATP2A2;CACNA2D1;CAMK2B;CDKN1B;MCU;NEDD4;PPARG;SFXN1;SLC30A7;SLC7A11;STEAP3
Glucose,Modification of peptide,1.73754891,CAMK2B;HIPK3;PCSK5;TNKS;TTBK1
Glucose,Abnormal morphology of lymphoid organ,1.735182177,AKAP13;BCL11B;CDKN1B;FNIP1;FOXO3;IFNAR1;LMNA;NOTCH3;NRAS;RBL1;SIRPA;STEAP3;TLE4;ZFP36
Glucose,Morphology of pancreas,1.735182177,AKT2;CCND2;CDKN1B;LEPR;PPARG;SIK3
Glucose,Organization of cells,1.735182177,ATF2;ATP2A2;NEDD4;RILPL1;RILPL2;SLC7A11
Glucose,Uptake of carbohydrate,1.730487056,AKT2;ATP2A2;BACH1;PARP1;PPARG;RBPJ;SLC30A7;TNKS
Glucose,Heart beat,1.725842151,ACADVL;ADRA2A;NHLH2
Glucose,Proliferation of neuroepithelial cells,1.725842151,CDKN1B;TULP3
Glucose,Hyperplasia of muscle cells,1.725842151,Clcnkb;PPARG
Glucose,Development of synovial joint,1.725842151,FOXO3;RBPJ
Glucose,Abnormal morphology of enlarged islets of Langerhans,1.725842151,AKT2;CDKN1B
Glucose,Arrest in cell cycle progression of embryonic cell lines,1.725842151,CDKN1B;RBL1
Glucose,Systolic pressure of left ventricle,1.725842151,ATP2A2;PARP1
Glucose,Hypoplasia of spleen,1.723538196,AKAP13;CDKN1B;NFAT5;TLE4
Glucose,Mass of brain,1.723538196,AKT2;CDKN1B;FOXO3;LEPR
Glucose,Morphogenesis of embryo,1.721246399,ATF2;CHD7;FZD3;NEDD4;PCSK5;RBPJ;SIK3;TEAD1;TULP3
Glucose,Extraintestinal functional disorder,1.721246399,ACADVL;ADGRF5;AKT2;ATP2A2;E2F3;FNIP1;SIK3
Glucose,Cell death of muscle cells,1.714442691,BACH1;BNIP3;CACNB2;FOXO3;GHRH;LMNA;MYH10;NOTCH3;SIVA1
Glucose,Morphology of testis,1.71219827,AKT2;CCND2;CDKN1B;FAM83A;KDM3A;LMNA;NAA10;NR2C2;SLC7A11;UBE2W
Glucose,Cellularity of lymphoid organ,1.701146924,CDKN1B;NOTCH3;PARP1
Glucose,Abnormal morphology of stem cells,1.701146924,CCND2;FOXO3;IFNAR1
Glucose,Lymphopoiesis,1.698970004,AKT2;ATF2;BCL11B;CCND2;CDKN1B;FNIP1;FOXO3;GHRH;IFNAR1;LCP1;LEPR;NBR1;NOTCH3;PARP1;PPARG;RBL1;RBPJ;SDC1;TLE4;USP15
Glucose,Organization of organelle,1.694648631,ATF2;ATP2A2;DBN1;KDM3A;LETMD1;LMNA;NEDD4;PARP1;SIRPA;SLC25A46;SLC7A11;SPTSSB;USP36;VANGL2;ZNF462
Glucose,Formation of skin,1.690369833,AKT2;ASH1L;BCL11B;CCND2;LMNA;PPARG;RBL1;RBPJ;RSPO4;VANGL2
Glucose,Expansion of hematopoietic progenitor cells,1.688246139,CCND2;FOXO3;IFNAR1;NRAS
Glucose,Lymphoproliferative disorder,1.684029655,ATF2;BTG2;CCND2;CDKN1B;E2F3;FBXO11;HIPK3;LCP1;NOTCH3;NRAS;PARP1;PFKFB2;PPARG;RBL1;SFXN1;ZFP36
Glucose,Abnormal morphology of brain,1.677780705,ADCY1;ASPA;BTBD9;CCND2;CDKN1B;DBN1;E2F3;EBF2;EFNA5;IFNAR1;MYH10;NRCAM;PHF8;RBL1;TRIO
Glucose,Size of cerebral ventricles,1.677780705,AP4E1;ATF2
Glucose,Size of fibroblast cell lines,1.677780705,CDKN1B;NRAS
Glucose,Abnormal morphology of pericytes,1.677780705,LEPR;NOTCH3
Glucose,Premature senescence of reproductive system,1.677780705,FOXO3;NHLH2
Glucose,Systemic lupus erythematosus,1.675717545,AKT2;CDKN1B;FOXO3
Glucose,Maturation of synapse,1.675717545,CHRDL1;PALM;PFN1
Glucose,Quantity of glycogen,1.669586227,ACADVL;ELOVL5;LEPR;PPARG;SLC7A11
Glucose,Formation of blood vessel,1.657577319,FNIP1;FOXO3;MYH10;PARP1;PCSK5
Glucose,Cell movement of brain cells,1.653647026,BTG2;MYH10;NRCAM;TRIO
Glucose,Production of superoxide,1.653647026,AKT2;NOTCH3;PSTPIP2;RBPJ
Glucose,Cell death of embryonic cell lines,1.653647026,ATF2;ATP2A2;CDKN1B;FOXO3;PARP1;RBL1;SIVA1;VDAC1
Glucose,Quantity of virus,1.651695137,CDKN1B;DBN1;IFNAR1
Glucose,Cell viability of brain cells,1.651695137,ADCY1;NRCAM;STXBP1
Glucose,Quantity of corpus luteum,1.651695137,AKT2;LEPR;NR2C2
Glucose,Memory,1.649751982,ADCY1;BLOC1S6;BTBD9;CAMK2B;CCND2;LEPR;PHF8;S100B;SLC7A11;VPS13B
Glucose,Cell death of hematopoietic cells,1.645891561,ATF2;BCL11B;FNIP1;NFAT5;NRAS;PARP1;PFN1;TLE4
Glucose,Migration of connective tissue cells,1.634512015,AKT2;CDKN1B;MYH10;NACC1;NFAT5;ZNF513
Glucose,Abnormal morphology of hematopoietic progenitor cells,1.634512015,ATF2;CCND2;FOXO3;IFNAR1;RBL1;STEAP3
Glucose,Severe developmental disorder,1.632644079,PPARG;RBPJ
Glucose,Density of connective tissue,1.632644079,LEPR;LMNA
