Gene,GeneName,Type,miRNA,Phenotypes
Vsig4,V-set and immunoglobulin domain containing 4,,miR-874-5p,increased lean body mass
Vwa8,von Willebrand factor A domain-containing protein 8,Enzyme,miR-145a-5p,increased fasting circulating glucose level
Washc4,WASH complex subunit 4,,miR-30e-5p; miR-30a-5p,increased fasting circulating glucose level
Wdr37,WD repeat-containing protein 37,,miR-340-5p; miR-196a-5p; miR-136-5p,increased circulating insulin level
Wdr6,tRNA,,miR-337-3p,improved glucose tolerance
Xrcc5,X-ray repair cross-complementing protein 5,Enzyme,miR-340-5p,decreased lean body mass
Xylb,Xylulose kinase,Kinase,miR-133b-3p,increased total body fat amount
Ylpm1,YLP motif-containing protein 1,Transcription regulator,miR-101b-3p,increased total body fat amount; increased fasting circulating glucose level
Ythdc2,3'-5' RNA helicase YTHDC2,Enzyme,miR-30e-5p; miR-30a-5p; miR-141-5p,increased total body fat amount
Zcchc2,Zinc finger CCHC domain-containing protein 2,,miR-30e-5p; miR-101b-3p; miR-30a-5p,increased total body fat amount
Zdhhc2,Palmitoyltransferase ZDHHC2,Enzyme,miR-182-5p; miR-124-3p; miR-141-5p,increased fasting circulating glucose level
Zer1,Protein zer-1 homolog,,miR-182-5p; miR-874-5p,improved glucose tolerance
Zfp202,Zinc finger protein 202,Transcription regulator,miR-141-5p,increased total body fat amount
Zfp36,mRNA decay activator protein ZFP36,Transcription regulator,miR-182-5p,increased fasting circulating glucose level
Zfp422,Zinc finger protein 22,,miR-136-5p,improved glucose tolerance
Zfp462,Zinc finger protein 462,Transcription regulator,miR-196a-5p,increased total body fat amount; impaired glucose tolerance
Zfp513,Zinc finger protein 513,Transcription regulator,miR-340-5p,increased circulating glucose level
Zfp629,Zinc finger protein 629,Transcription regulator,miR-133b-3p,increased total body fat amount
Zfp664,Zinc finger protein 664,Transcription regulator,miR-340-5p,impaired glucose tolerance
Zfp746,Zinc finger protein 746,Transcription regulator,miR-30e-5p; miR-30a-5p; miR-337-3p,increased total body fat amount
Zfp84,Zinc finger protein 84,,miR-337-3p,increased lean body mass
Zhx3,Zinc fingers and homeoboxes protein 3,Transcription regulator,miR-205-5p; miR-133b-3p,increased lean body mass
Zmym2,Zinc finger MYM-type protein 2,Transcription regulator,miR-183-5p; miR-101b-3p,increased total body fat amount
